date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
4/20/19,AAPL,5/17/19,190,Call,15.65,15.85,0.3026,0.8187,0.0162,-0.0944,0.1536,0.0914
4/20/19,AAPL,5/17/19,190,Put,1.82,1.86,0.293,-0.1911,0.0163,-0.0765,0.1596,-0.0296
4/20/19,AAPL,5/17/19,195,Call,11.65,11.85,0.2878,0.7307,0.0212,-0.1086,0.1904,0.0861
4/20/19,AAPL,5/17/19,195,Put,2.91,2.97,0.2816,-0.2819,0.0211,-0.0904,0.1935,-0.043
4/20/19,AAPL,5/17/19,200,Call,8.25,8.4,0.2779,0.616,0.0251,-0.1176,0.2186,0.0774
4/20/19,AAPL,5/17/19,200,Put,4.55,4.65,0.2734,-0.3968,0.0249,-0.0992,0.2222,-0.0593
4/20/19,AAPL,5/17/19,205,Call,5.5,5.6,0.27,0.4858,0.0267,-0.1163,0.2263,0.0654
4/20/19,AAPL,5/17/19,205,Put,6.8,6.95,0.2655,-0.5259,0.0265,-0.0977,0.2272,-0.0766
4/20/19,AAPL,6/21/19,185,Call,20.9,21.1,0.256,0.8344,0.0116,-0.0535,0.2159,0.2565
4/20/19,AAPL,6/21/19,185,Put,2.02,2.06,0.256,-0.1674,0.0116,-0.0404,0.2173,-0.057
4/20/19,AAPL,6/21/19,190,Call,16.8,17,0.2454,0.7724,0.0146,-0.0595,0.2571,0.2451
4/20/19,AAPL,6/21/19,190,Put,2.94,3.05,0.248,-0.2316,0.0146,-0.0472,0.2585,-0.0777
4/20/19,AAPL,6/21/19,195,Call,13.15,13.35,0.2395,0.6925,0.0174,-0.0653,0.3009,0.2243
4/20/19,AAPL,6/21/19,195,Put,4.25,4.35,0.2406,-0.3109,0.0175,-0.0525,0.3036,-0.1018
4/20/19,AAPL,6/21/19,200,Call,9.95,10.1,0.2333,0.6003,0.0195,-0.068,0.3295,0.1974
4/20/19,AAPL,6/21/19,200,Put,6,6.15,0.2344,-0.4042,0.0198,-0.0552,0.3297,-0.1286
4/20/19,AAPL,6/21/19,205,Call,7.2,7.35,0.2276,0.4994,0.0207,-0.0673,0.3408,0.1665
4/20/19,AAPL,6/21/19,205,Put,8.3,8.45,0.2299,-0.5064,0.0209,-0.0547,0.3396,-0.154
4/27/19,AAPL,5/10/19,185,Call,19.9,20.2,0.4005,0.9145,0.0104,-0.1058,0.0626,0.0511
4/27/19,AAPL,5/10/19,185,Put,0.66,0.71,0.384,-0.0927,0.0109,-0.0897,0.068,-0.0071
4/27/19,AAPL,5/10/19,190,Call,15.4,15.65,0.3779,0.8567,0.0158,-0.1393,0.0879,0.0495
4/27/19,AAPL,5/10/19,190,Put,1.17,1.24,0.3634,-0.1541,0.0165,-0.1211,0.0964,-0.0117
4/27/19,AAPL,5/10/19,195,Call,11.3,11.5,0.3626,0.7651,0.0223,-0.1766,0.1229,0.0457
4/27/19,AAPL,5/10/19,195,Put,2.09,2.17,0.348,-0.2487,0.023,-0.1542,0.1249,-0.0188
4/27/19,AAPL,5/10/19,200,Call,7.75,7.9,0.3494,0.6406,0.028,-0.2025,0.1481,0.04
4/27/19,AAPL,5/10/19,200,Put,3.6,3.7,0.3371,-0.3768,0.0284,-0.1778,0.1522,-0.0281
4/27/19,AAPL,5/10/19,205,Call,4.85,5,0.3372,0.4928,0.0308,-0.2054,0.1572,0.0321
4/27/19,AAPL,5/10/19,205,Put,5.8,5.95,0.3276,-0.5259,0.0307,-0.1793,0.158,-0.0385
4/27/19,AAPL,5/24/19,185,Call,20.25,20.5,0.3297,0.8821,0.0121,-0.0854,0.11,0.0821
4/27/19,AAPL,5/24/19,185,Put,1.08,1.14,0.3143,-0.1219,0.0115,-0.0626,0.1204,-0.0185
4/27/19,AAPL,5/24/19,190,Call,15.9,16.05,0.3104,0.8198,0.0165,-0.1007,0.1504,0.087
